date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:59	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262bf22d7-4d7%22	https://vportfolio.amcoders.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://vportfolio.amcoders.com/)
11:07:00	5619/5619	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-15f3%22	https://vportfolio.amcoders.com/frontend/js/lazyload.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/lazyload.min.js	(from https://vportfolio.amcoders.com/)
11:07:02	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-15283%22	https://vportfolio.amcoders.com/frontend/js/vendor/jquery-3.2.1.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/vendor/jquery-3.2.1.min.js	(from https://vportfolio.amcoders.com/)
11:07:02	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-4af4%22	https://vportfolio.amcoders.com/frontend/js/popper.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/popper.min.js	(from https://vportfolio.amcoders.com/)
11:07:03	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-bf30%22	https://vportfolio.amcoders.com/frontend/js/bootstrap.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/bootstrap.min.js	(from https://vportfolio.amcoders.com/)
11:07:04	4467/4467	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-159c%22	https://vportfolio.amcoders.com/frontend/js/animate-heading.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/animate-heading.js	(from https://vportfolio.amcoders.com/)
11:07:05	27840/27840	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-a801%22	https://vportfolio.amcoders.com/frontend/js/particles.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/particles.js	(from https://vportfolio.amcoders.com/)
11:07:06	1284/1284	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-b03%22	https://vportfolio.amcoders.com/frontend/js/particles-custom.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/particles-custom.js	(from https://vportfolio.amcoders.com/)
11:07:07	5318/5318	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-14c6%22	https://vportfolio.amcoders.com/frontend/js/tilt.jquery.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/tilt.jquery.min.js	(from https://vportfolio.amcoders.com/)
11:07:08	2469/2469	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f78bdd-9a5%22	https://vportfolio.amcoders.com/frontend/js/jquery.nav.min.js	Desktop/projects/web_portfolio/vportfolio.amcoders.com/frontend/js/jquery.nav.min.js	(from https://vportfolio.amcoders.com/)
